uid,domainID,siteID,namedLocation,eventID,samplingImpractical,replicateNumber,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingProtocolVersion,riparianWaterDepth,wettedWidth,bankLR,boatToShoreDist,estVisibilityDist,riparianSubsystem,riparianClass,riparianSubclass,riparianDominantVegetation,scientificName,bigTreeType,bigTreeCoverClass,smallTreeType,smallTreeCoverClass,woodyShrubSaplingType,woodyShrubSaplingCoverClass,tallHerbType,tallHerbCoverClass,woodyShrubGroundCoverClass,shortHerbCoverClass,standingWaterCoverClass,bareDirtCoverClass,buildingPresence,roadPresence,boatRampPresence,lawnsParksPresence,agriculturePresence,industryPresence,pavementPresence,trashPresence,adjacentAreaLeftRemarks,adjacentAreaRightRemarks,dominantBankAngle,subdominantBankAngle,bankUndercut,dominantBankRevetment,subdominantBankRevetment,dominantBankTexture,subdominantBankTexture,remarks,collectedBy,recordedBy,dataQF
"734fe2b0-262b-4b86-9626-b9fc7edda49f","D17","BIGC","BIGC.AOS.riparian.transect.01","BIGC.01.20190715.R",,1,37.057635,-119.255467,"WGS84",0.4,1132.2,0.3,"2019-07-15T18:13Z","NEON.DOC.003826vC",25.6,4.35,"Right",,"50","stream","Forested","Needle-leaved Evergreen","CADE27","Calocedrus decurrens (Torr.) Florin","Needle-leaved Evergreen","Moderate (10 to 40 %)","Needle-leaved Evergreen","Sparse (0 to 10 %)","Mix","Sparse (0 to 10 %)","Mix","Sparse (0 to 10 %)","Sparse (0 to 10 %)","Moderate (10 to 40 %)","Absent (0 %)","Heavy (40 to 75 %)","N","N","N","N","N","N","N","N",,,"Gradual (< 30 degrees)",,"N","None","None","Sand",,,"0000-0001-7072-0706","0000-0001-5002-5407",
"2558560f-6447-4b34-b8fd-a5cd1c14c8f6","D17","BIGC","BIGC.AOS.riparian.transect.08","BIGC.08.20190715.L",,1,37.061671,-119.258119,"WGS84",0.7,1133.1,0.5,"2019-07-15T18:13Z","NEON.DOC.003826vC",40.9,3.42,"Left",,"50","stream","Forested","Mixed","CADE27","Calocedrus decurrens (Torr.) Florin","Needle-leaved Evergreen","Moderate (10 to 40 %)","Needle-leaved Evergreen","Moderate (10 to 40 %)","Mix","Heavy (40 to 75 %)","Mix","Moderate (10 to 40 %)","Sparse (0 to 10 %)","Moderate (10 to 40 %)","Absent (0 %)","Moderate (10 to 40 %)","N","N","N","N","N","N","N","N",,,"Gradual (< 30 degrees)",,"N","None",,"Gravel","Sand",,"0000-0001-7072-0706","0000-0001-5002-5407",
"652719a9-0d16-4da3-8913-d66ea1442a43","D17","BIGC","BIGC.AOS.riparian.transect.02","BIGC.02.20190715.R",,1,37.058165,-119.256196,"WGS84",0.6,1133.8,0.5,"2019-07-15T18:13Z","NEON.DOC.003826vC",20.7,5.91,"Right",,"50","stream","Forested","Mixed","ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.","Needle-leaved Evergreen","Sparse (0 to 10 %)","Mix","Moderate (10 to 40 %)","Needle-leaved Evergreen","Moderate (10 to 40 %)","Mix","Sparse (0 to 10 %)","Sparse (0 to 10 %)","Sparse (0 to 10 %)","Absent (0 %)","Moderate (10 to 40 %)","N","N","N","N","N","N","N","N",,,"Gradual (< 30 degrees)","Gradual (< 30 degrees)","Y","None",,"Sand",,,"0000-0001-7072-0706","0000-0001-5002-5407",
"a5e6ea65-7778-4dc3-b373-86a42f5a0c6f","D17","BIGC","BIGC.AOS.riparian.transect.02","BIGC.02.20190715.L",,1,37.058165,-119.256196,"WGS84",0.6,1133.8,0.5,"2019-07-15T18:13Z","NEON.DOC.003826vC",20.7,5.91,"Left",,"50","stream","Forested","Needle-leaved Evergreen","CADE27","Calocedrus decurrens (Torr.) Florin","Needle-leaved Evergreen","Heavy (40 to 75 %)","Needle-leaved Evergreen","Moderate (10 to 40 %)","Mix","Heavy (40 to 75 %)","Mix","Sparse (0 to 10 %)","Moderate (10 to 40 %)","Moderate (10 to 40 %)","Sparse (0 to 10 %)","Moderate (10 to 40 %)","N","N","N","N","N","N","N","Y",,,"Gradual (< 30 degrees)",,"N","None",,"Sand",,,"0000-0001-7072-0706","0000-0001-5002-5407",
"784b9927-eaf1-4930-8412-28ea48965846","D17","BIGC","BIGC.AOS.riparian.transect.10","BIGC.10.20190715.L",,1,37.062682,-119.259594,"WGS84",0.4,1139.5,0.3,"2019-07-15T18:13Z","NEON.DOC.003826vC",28.5,5.20,"Left",,"30","stream","Forested","Mixed","CADE27","Calocedrus decurrens (Torr.) Florin","Needle-leaved Evergreen","Heavy (40 to 75 %)","Mix","Moderate (10 to 40 %)","Needle-leaved Evergreen","Sparse (0 to 10 %)","Mix","Sparse (0 to 10 %)","Sparse (0 to 10 %)","Moderate (10 to 40 %)","Absent (0 %)","Moderate (10 to 40 %)","N","N","N","N","N","N","N","N",,,"Gradual (< 30 degrees)","Vertical (> 75 degrees)","N","None",,"Sand",,,"0000-0001-7072-0706","0000-0001-5002-5407",
"a9841f5d-1317-483d-b5e0-1059450d5b06","D17","BIGC","BIGC.AOS.riparian.transect.06","BIGC.06.20190715.L",,1,37.060366,-119.257965,"WGS84",0.3,1135.0,0.2,"2019-07-15T18:13Z","NEON.DOC.003826vC",25.8,5.48,"Left",,"50","stream","Forested","Mixed","ALNUS","Alnus sp.","Mix","Heavy (40 to 75 %)","Mix","Moderate (10 to 40 %)","Mix","Moderate (10 to 40 %)","Mix","Moderate (10 to 40 %)","Sparse (0 to 10 %)","Moderate (10 to 40 %)","Absent (0 %)","Moderate (10 to 40 %)","N","N","N","N","N","N","N","N",,,"Gradual (< 30 degrees)","Steep (30 to 75 degrees)","N","None",,"Sand",,,"0000-0001-7072-0706","0000-0001-5002-5407",
"fa53f794-6cfb-4b47-83f2-e1288956f6c5","D17","BIGC","BIGC.AOS.riparian.transect.03","BIGC.03.20190715.R",,1,37.058766,-119.256738,"WGS84",0.3,1135.0,0.3,"2019-07-15T18:13Z","NEON.DOC.003826vC",7.0,5.42,"Right",,"50","stream","Forested","Mixed","ALRH2","Alnus rhombifolia Nutt.","Dead","Moderate (10 to 40 %)","Mix","Moderate (10 to 40 %)","Mix","Moderate (10 to 40 %)","Mix","Sparse (0 to 10 %)","Sparse (0 to 10 %)","Sparse (0 to 10 %)","Absent (0 %)","Moderate (10 to 40 %)","N","N","N","N","N","N","N","N",,,"Steep (30 to 75 degrees)","Steep (30 to 75 degrees)","N","None",,"Sand",,,"0000-0001-7072-0706","0000-0001-5002-5407",
"70a23c39-7988-4a79-9a58-8ee6e4974121","D17","BIGC","BIGC.AOS.riparian.transect.04","BIGC.04.20190715.L",,1,37.059491,-119.257368,"WGS84",0.6,1149.7,0.3,"2019-07-15T18:13Z","NEON.DOC.003826vC",20.3,3.36,"Left",,"50","stream","Scrub Shrub","Mixed","ABCO","Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.","Dead","Moderate (10 to 40 %)","Needle-leaved Evergreen","Moderate (10 to 40 %)","Needle-leaved Evergreen","Moderate (10 to 40 %)","Mix","Moderate (10 to 40 %)","Sparse (0 to 10 %)","Moderate (10 to 40 %)","Absent (0 %)","Heavy (40 to 75 %)","N","N","N","N","N","N","N","N",,,"Vertical (> 75 degrees)","Steep (30 to 75 degrees)","N","None",,"Sand",,,"0000-0001-7072-0706","0000-0001-5002-5407",
"f3be2ea7-da18-4042-93d0-9dc49ef27ba8","D17","BIGC","BIGC.AOS.riparian.transect.04","BIGC.04.20190715.R",,1,37.059491,-119.257368,"WGS84",0.6,1149.7,0.3,"2019-07-15T18:13Z","NEON.DOC.003826vC",20.3,3.36,"Right",,"50","stream","Forested","Mixed","ALRH2","Alnus rhombifolia Nutt.","Dead","Heavy (40 to 75 %)","Needle-leaved Evergreen","Moderate (10 to 40 %)","Mix","Moderate (10 to 40 %)","Mix","Moderate (10 to 40 %)","Sparse (0 to 10 %)","Moderate (10 to 40 %)","Absent (0 %)","Moderate (10 to 40 %)","N","N","N","N","N","N","N","N",,,"Gradual (< 30 degrees)",,"N","None",,"Sand",,,"0000-0001-7072-0706","0000-0001-5002-5407",
"a7340a3f-e029-4870-ab5f-093b9d6869be","D17","BIGC","BIGC.AOS.riparian.transect.05","BIGC.05.20190715.R",,1,37.059846,-119.257886,"WGS84",0.3,1133.1,0.2,"2019-07-15T18:13Z","NEON.DOC.003826vC",25.3,3.08,"Right",,"30","stream","Forested","Mixed","CADE27","Calocedrus decurrens (Torr.) Florin","Needle-leaved Evergreen","Moderate (10 to 40 %)","Mix","Heavy (40 to 75 %)","Needle-leaved Evergreen","Heavy (40 to 75 %)","Mix","Sparse (0 to 10 %)","Sparse (0 to 10 %)","Moderate (10 to 40 %)","Absent (0 %)","Moderate (10 to 40 %)","N","N","N","N","N","N","N","N",,,"Gradual (< 30 degrees)",,"N","None",,"Sand",,,"0000-0001-7072-0706","0000-0001-5002-5407",
