uid,domainID,siteID,namedLocation,sampleID,sampleCode,startDate,collectDate,laboratoryName,analyte,analyteConcentration,analyteUnits,analysisDate,belowDetectionQF,coolerTemp,remarks,shipmentWarmQF,externalLabDataQF,sampleCondition
"295c77cc-2518-4037-83c4-fd25c2a5079a","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20190611.FIL.3","A00000104186","2019-06-11T15:59Z","2019-06-11T15:59Z","EcoCore_CSU","Ca",66.3254,"milligramsPerLiter",,,-0.3,,0,"formatChange","GOOD"
"81fa8fe5-5920-47b9-bacf-5093a232d202","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20190611.FIL","A00000104198","2019-06-11T15:59Z","2019-06-11T15:59Z","EcoCore_CSU","TDP",0.0219,"milligramsPerLiter",,,0.4,,0,"formatChange","GOOD"
"34c42159-4ced-4be3-add1-ee3454bf0291","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20190611.FIL.2","A00000104185","2019-06-11T15:59Z","2019-06-11T15:59Z","EcoCore_CSU","Cl",5.6290,"milligramsPerLiter",,,0.5,,0,"formatChange","GOOD"
"46b51a66-3c71-4617-8f21-8698a45968d8","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20190611.FIL.2","A00000104185","2019-06-11T15:59Z","2019-06-11T15:59Z","EcoCore_CSU","UV Absorbance (254 nm)",0.0833,,,,0.5,,0,"formatChange","GOOD"
"309c5f8d-0f8a-4458-8cf6-028686620c1d","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20190611.RAW.3","A00000104179","2019-06-11T15:59Z","2019-06-11T15:59Z","EcoCore_CSU","TSS",16.0000,"milligramsPerLiter",,,-0.3,,0,"formatChange","GOOD"
"1b1547f6-4c85-4d3d-bcbf-fcb62df9a1e5","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20190611.FIL","A00000104198","2019-06-11T15:59Z","2019-06-11T15:59Z","EcoCore_CSU","Mg",30.0800,"milligramsPerLiter",,,0.4,,0,"formatChange","GOOD"
"223c5da2-3292-4d41-93aa-b806ea6c0c65","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20190611.FIL.2","A00000104185","2019-06-11T15:59Z","2019-06-11T15:59Z","EcoCore_CSU","CO3",0.0050,"milligramsPerLiter",,"BDL",0.5,,0,"formatChange","GOOD"
"1e68ca82-c390-48de-9a8e-6673b2179ebc","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20190611.FIL","A00000104198","2019-06-11T15:59Z","2019-06-11T15:59Z","EcoCore_CSU","UV Absorbance (254 nm)",0.0792,,,,0.4,,0,"formatChange","GOOD"
"317c2732-c7aa-4d2d-9a88-e546151a0221","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20190611.PCN.3","A00000104596","2019-06-11T15:59Z","2019-06-11T15:59Z","EcoCore_CSU","TPN",586.3650,"microgramsPerLiter",,,-0.3,,0,"formatChange","GOOD"
"d01d67b6-97c3-4064-a6f8-ca80f08a56ba","D11","BLUE","BLUE.AOS.S2","BLUE.SS.20190611.FIL","A00000104198","2019-06-11T15:59Z","2019-06-11T15:59Z","EcoCore_CSU","UV Absorbance (280 nm)",0.0558,,,,0.4,,0,"formatChange","GOOD"
