uid,domainID,siteID,namedLocation,eventID,samplingImpractical,replicateNumber,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingProtocolVersion,riparianWaterDepth,wettedWidth,bankLR,boatToShoreDist,estVisibilityDist,riparianSubsystem,riparianClass,riparianSubclass,riparianDominantVegetation,scientificName,bigTreeType,bigTreeCoverClass,smallTreeType,smallTreeCoverClass,woodyShrubSaplingType,woodyShrubSaplingCoverClass,tallHerbType,tallHerbCoverClass,woodyShrubGroundCoverClass,shortHerbCoverClass,standingWaterCoverClass,bareDirtCoverClass,buildingPresence,roadPresence,boatRampPresence,lawnsParksPresence,agriculturePresence,industryPresence,pavementPresence,trashPresence,adjacentAreaLeftRemarks,adjacentAreaRightRemarks,dominantBankAngle,subdominantBankAngle,bankUndercut,dominantBankRevetment,subdominantBankRevetment,dominantBankTexture,subdominantBankTexture,remarks,collectedBy,recordedBy,dataQF
"3767115d-8d6d-4444-9ecd-d48fbaa1c109","D11","BLUE","BLUE.AOS.riparian.transect.08",,,,34.445639,-96.623813,"WGS84",0.1,287.5,0.1,"2019-06-18T15:52Z","NEON.DOC.003826vD",103.0,20.50,"Left",,"50","stream","Unconsolidated Bottom","Cobble-Gravel","ACNE2","Acer negundo L.","Needle-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Moderate (10 to 40 %)","Heavy (40 to 75 %)","Sparse (0 to 10 %)","Absent (0 %)","N","N","N","N","N","N","N","N",,,"Steep (30 to 75 degrees)","Steep (30 to 75 degrees)","Y",,,"Silt","Clay",,"0000-0002-2086-5736","0000-0002-1844-4553",
"1deab72f-09f1-4269-b1a6-47e20308673c","D11","BLUE","BLUE.AOS.riparian.transect.01",,,,34.440668,-96.623959,"WGS84",0.1,286.2,0.1,"2019-06-18T15:52Z","NEON.DOC.003826vD",85.0,27.10,"Left",,"50","stream","Rock Bottom","Rubble","JUNI","Juglans nigra L.","Broad-leaved Deciduous","Heavy (40 to 75 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Sparse (0 to 10 %)","Sparse (0 to 10 %)","Heavy (40 to 75 %)","Sparse (0 to 10 %)","Sparse (0 to 10 %)","N","N","N","N","N","N","N","N",,,"Steep (30 to 75 degrees)","Gradual (< 30 degrees)","Y","None","None","Silt","Clay",,"0000-0002-2086-5736","0000-0002-1844-4553",
"8eb2e49d-e698-4cfb-b878-2465a7479b56","D11","BLUE","BLUE.AOS.riparian.transect.09",,,,34.446598,-96.623571,"WGS84",0.1,287.7,0.1,"2019-06-18T15:52Z","NEON.DOC.003826vD",67.0,20.20,"Right",,"50","stream","Rock Bottom","Rubble","SOHA","Sorghum halepense (L.) Pers.","Broad-leaved Deciduous","Sparse (0 to 10 %)","Broad-leaved Deciduous","Absent (0 %)","Broad-leaved Deciduous","Sparse (0 to 10 %)","Broad-leaved Deciduous","Very Heavy (> 75 %)","Sparse (0 to 10 %)","Moderate (10 to 40 %)","Sparse (0 to 10 %)","Sparse (0 to 10 %)","N","N","N","N","N","N","N","N",,,"Steep (30 to 75 degrees)","Gradual (< 30 degrees)","N",,,"Sand","Boulder or Cobble",,"0000-0002-2086-5736","0000-0002-1844-4553",
"a7f473f5-01f9-456f-9b22-08e9eac0cc66","D11","BLUE","BLUE.AOS.riparian.transect.02",,,,34.441449,-96.623162,"WGS84",0.3,288.9,0.6,"2019-06-18T15:52Z","NEON.DOC.003826vD",70.0,24.80,"Right",,"50","stream","Rock Bottom","Bedrock","JUNI","Juglans nigra L.","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Heavy (40 to 75 %)","Moderate (10 to 40 %)","Moderate (10 to 40 %)","Absent (0 %)","Sparse (0 to 10 %)","N","N","N","N","N","N","N","N",,,"Gradual (< 30 degrees)","Gradual (< 30 degrees)","N","None","None","Silt","Mix",,"0000-0002-2086-5736","0000-0002-1844-4553",
"cd87c74f-fc9b-4e69-8b19-0788f322caf8","D11","BLUE","BLUE.AOS.riparian.transect.05",,,,34.443196,-96.623726,"WGS84",0.2,286.6,0.2,"2019-06-18T15:52Z","NEON.DOC.003826vD",65.0,18.75,"Right",,"50","stream","Rock Bottom","Bedrock","MAPO","Maclura pomifera (Raf.) C.K. Schneid.","Broad-leaved Deciduous","Sparse (0 to 10 %)","Broad-leaved Deciduous","Sparse (0 to 10 %)","Broad-leaved Deciduous","Sparse (0 to 10 %)","Broad-leaved Deciduous","Heavy (40 to 75 %)","Sparse (0 to 10 %)","Moderate (10 to 40 %)","Sparse (0 to 10 %)","Moderate (10 to 40 %)","N","N","N","N","N","N","N","N",,,"Vertical (> 75 degrees)","Steep (30 to 75 degrees)","N",,,"Silt","Gravel",,"0000-0002-2086-5736","0000-0002-1844-4553",
"9294a3b4-a10b-4eb3-89d9-d8c6fb51d131","D11","BLUE","BLUE.AOS.riparian.transect.10",,,,34.447635,-96.623611,"WGS84",0.2,289.0,0.3,"2019-06-18T15:52Z","NEON.DOC.003826vD",105.0,20.80,"Right",,"50","stream","Unconsolidated Bottom","Sand","PLOC","Platanus occidentalis L.","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Very Heavy (> 75 %)","Sparse (0 to 10 %)","Moderate (10 to 40 %)","Sparse (0 to 10 %)","Sparse (0 to 10 %)","N","N","N","N","N","N","N","N",,,"Vertical (> 75 degrees)","Steep (30 to 75 degrees)","N",,,"Silt","Clay",,"0000-0002-2086-5736","0000-0002-1844-4553",
"baba0f42-703b-4421-9364-1e98374fcf78","D11","BLUE","BLUE.AOS.riparian.transect.07",,,,34.444863,-96.623993,"WGS84",0.1,286.0,0.3,"2019-06-18T15:52Z","NEON.DOC.003826vD",75.0,25.40,"Left",,"50","stream","Rock Bottom","Rubble","ULAM","Ulmus americana L.","Broad-leaved Deciduous","Sparse (0 to 10 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Moderate (10 to 40 %)","Heavy (40 to 75 %)","Sparse (0 to 10 %)","Sparse (0 to 10 %)","N","N","N","N","N","N","N","N",,,"Steep (30 to 75 degrees)","Gradual (< 30 degrees)","Y",,,"Silt","Silt",,"0000-0002-2086-5736","0000-0002-1844-4553",
"a2794554-c397-4792-8b15-4f90006db1fc","D11","BLUE","BLUE.AOS.riparian.transect.02",,,,34.441449,-96.623162,"WGS84",0.3,288.9,0.6,"2019-06-18T15:52Z","NEON.DOC.003826vD",70.0,24.80,"Left",,"50","stream","Rock Bottom","Bedrock","ULAM","Ulmus americana L.","Broad-leaved Deciduous","Heavy (40 to 75 %)","Broad-leaved Deciduous","Heavy (40 to 75 %)","Broad-leaved Deciduous","Heavy (40 to 75 %)","Broad-leaved Deciduous","Sparse (0 to 10 %)","Moderate (10 to 40 %)","Moderate (10 to 40 %)","Absent (0 %)","Moderate (10 to 40 %)","N","N","N","N","N","N","N","N",,,"Vertical (> 75 degrees)","Steep (30 to 75 degrees)","Y","None","None","Boulder or Cobble","Silt",,"0000-0002-2086-5736","0000-0002-1844-4553",
"4b699e0c-f62b-4fea-86d0-99228d887796","D11","BLUE","BLUE.AOS.riparian.transect.04",,,,34.442768,-96.622836,"WGS84",0.3,286.9,0.4,"2019-06-18T15:52Z","NEON.DOC.003826vD",111.0,26.80,"Left",,"50","stream","Rock Bottom","Bedrock","JUNI","Juglans nigra L.","Broad-leaved Deciduous","Heavy (40 to 75 %)","Broad-leaved Deciduous","Very Heavy (> 75 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Sparse (0 to 10 %)","Moderate (10 to 40 %)","Moderate (10 to 40 %)","Absent (0 %)","Sparse (0 to 10 %)","N","N","N","N","N","N","N","Y",,,"Vertical (> 75 degrees)","Steep (30 to 75 degrees)","N",,,"Silt","Silt",,"0000-0002-2086-5736","0000-0002-1844-4553",
"80b405c3-0d96-4b0d-9dfd-a52fe9478a23","D11","BLUE","BLUE.AOS.riparian.transect.06",,,,34.443881,-96.624196,"WGS84",0.1,286.2,0.2,"2019-06-18T15:52Z","NEON.DOC.003826vD",110.0,22.90,"Right",,"50","stream","Rock Bottom","Rubble","SCAR7","Schedonorus arundinaceus (Schreb.) Dumort., nom. cons.","Broad-leaved Deciduous","Sparse (0 to 10 %)","Broad-leaved Deciduous","Sparse (0 to 10 %)","Broad-leaved Deciduous","Sparse (0 to 10 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Sparse (0 to 10 %)","Heavy (40 to 75 %)","Absent (0 %)","Sparse (0 to 10 %)","N","N","N","N","N","N","N","N",,,"Vertical (> 75 degrees)","Steep (30 to 75 degrees)","Y",,,"Silt","Gravel",,"0000-0002-2086-5736","0000-0002-1844-4553",
