uid,domainID,siteID,namedLocation,eventID,samplingImpractical,replicateNumber,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingProtocolVersion,measurementLocation,measurementDirection,totalDensiometerPoints,coveredDensiometerPoints,canopyCoverPercent,remarks,collectedBy,recordedBy,dataQF
"17eb68e5-b52e-47cd-94ce-733eb8ed8b24","D11","BLUE","BLUE.AOS.riparian.transect.06",,,,34.443881,-96.624196,"WGS84",0.1,286.2,0.2,"2019-06-18T15:52Z","NEON.DOC.003826vD","Center","river Right",17,5,29.4,,"esHShqwTCLx8jdtlXJS23XqHtiD2EN8v","esHShqwTCLy5n6wsAgho91urQD8Y42ez",
"8e2eabf9-d567-40e0-8ebe-114cfc349a5f","D11","BLUE","BLUE.AOS.riparian.transect.08",,,,34.445639,-96.623813,"WGS84",0.1,287.5,0.1,"2019-06-18T15:52Z","NEON.DOC.003826vD","Center","river Left",17,7,41.2,,"esHShqwTCLx8jdtlXJS23XqHtiD2EN8v","esHShqwTCLy5n6wsAgho91urQD8Y42ez",
"85447e2b-7a55-4123-b20f-5d15b9691e31","D11","BLUE","BLUE.AOS.riparian.transect.01",,,,34.440668,-96.623959,"WGS84",0.1,286.2,0.1,"2019-06-18T15:52Z","NEON.DOC.003826vD","Center","upstream",17,0,0.0,,"esHShqwTCLx8jdtlXJS23XqHtiD2EN8v","esHShqwTCLy5n6wsAgho91urQD8Y42ez",
"5646071b-0864-4709-ad6f-5536e376221d","D11","BLUE","BLUE.AOS.riparian.transect.02",,,,34.441449,-96.623162,"WGS84",0.3,288.9,0.6,"2019-06-18T15:52Z","NEON.DOC.003826vD","Right Bank","river Right",17,17,100.0,,"esHShqwTCLx8jdtlXJS23XqHtiD2EN8v","esHShqwTCLy5n6wsAgho91urQD8Y42ez",
"cf2adc57-1e2b-443b-b20e-6227ae10bafb","D11","BLUE","BLUE.AOS.riparian.transect.10",,,,34.447635,-96.623611,"WGS84",0.2,289.0,0.3,"2019-06-18T15:52Z","NEON.DOC.003826vD","Center","upstream",17,1,5.9,,"esHShqwTCLx8jdtlXJS23XqHtiD2EN8v","esHShqwTCLy5n6wsAgho91urQD8Y42ez",
"083b0d9a-60ac-4833-8b5c-5c8869e4acec","D11","BLUE","BLUE.AOS.riparian.transect.04",,,,34.442768,-96.622836,"WGS84",0.3,286.9,0.4,"2019-06-18T15:52Z","NEON.DOC.003826vD","Right Bank","river Right",17,16,94.1,,"esHShqwTCLx8jdtlXJS23XqHtiD2EN8v","esHShqwTCLy5n6wsAgho91urQD8Y42ez",
"a1e7276b-1b0b-4e7f-bd13-5b09d8b910b9","D11","BLUE","BLUE.AOS.riparian.transect.10",,,,34.447635,-96.623611,"WGS84",0.2,289.0,0.3,"2019-06-18T15:52Z","NEON.DOC.003826vD","Left Bank","river Left",17,16,94.1,,"esHShqwTCLx8jdtlXJS23XqHtiD2EN8v","esHShqwTCLy5n6wsAgho91urQD8Y42ez",
"2e194d80-67e9-4552-83fc-9a7cdf7a5cba","D11","BLUE","BLUE.AOS.riparian.transect.06",,,,34.443881,-96.624196,"WGS84",0.1,286.2,0.2,"2019-06-18T15:52Z","NEON.DOC.003826vD","Right Bank","river Right",17,2,11.8,,"esHShqwTCLx8jdtlXJS23XqHtiD2EN8v","esHShqwTCLy5n6wsAgho91urQD8Y42ez",
"658f31d6-e751-4938-a0df-c76482bafe2c","D11","BLUE","BLUE.AOS.riparian.transect.01",,,,34.440668,-96.623959,"WGS84",0.1,286.2,0.1,"2019-06-18T15:52Z","NEON.DOC.003826vD","Left Bank","river Left",17,15,88.2,,"esHShqwTCLx8jdtlXJS23XqHtiD2EN8v","esHShqwTCLy5n6wsAgho91urQD8Y42ez",
"860c82ef-2e44-4554-98f1-c75be9caaec6","D11","BLUE","BLUE.AOS.riparian.transect.01",,,,34.440668,-96.623959,"WGS84",0.1,286.2,0.1,"2019-06-18T15:52Z","NEON.DOC.003826vD","Center","river Left",17,10,58.8,,"esHShqwTCLx8jdtlXJS23XqHtiD2EN8v","esHShqwTCLy5n6wsAgho91urQD8Y42ez",
"f35bb064-8557-4b1a-9932-524e2b4075ec","D11","BLUE","BLUE.AOS.riparian.transect.04",,,,34.442768,-96.622836,"WGS84",0.3,286.9,0.4,"2019-06-18T15:52Z","NEON.DOC.003826vD","Center","river Right",17,9,52.9,,"esHShqwTCLx8jdtlXJS23XqHtiD2EN8v","esHShqwTCLy5n6wsAgho91urQD8Y42ez",
"131ebf24-1229-4e92-aee7-b1d45f3ba94b","D11","BLUE","BLUE.AOS.riparian.transect.08",,,,34.445639,-96.623813,"WGS84",0.1,287.5,0.1,"2019-06-18T15:52Z","NEON.DOC.003826vD","Left Bank","river Left",17,15,88.2,,"esHShqwTCLx8jdtlXJS23XqHtiD2EN8v","esHShqwTCLy5n6wsAgho91urQD8Y42ez",
"aadafa66-5ed2-44ab-b3ff-b0166bedfdf0","D11","BLUE","BLUE.AOS.riparian.transect.08",,,,34.445639,-96.623813,"WGS84",0.1,287.5,0.1,"2019-06-18T15:52Z","NEON.DOC.003826vD","Center","upstream",17,0,0.0,,"esHShqwTCLx8jdtlXJS23XqHtiD2EN8v","esHShqwTCLy5n6wsAgho91urQD8Y42ez",
