startDateTime,endDateTime,surfWaterNitrateMean,surfWaterNitrateMinimum,surfWaterNitrateMaximum,surfWaterNitrateVariance,surfWaterNitrateNumPts,surfWaterNitrateExpUncert,surfWaterNitrateStdErMean,finalQF
"2021-06-01T00:00:00Z","2021-06-01T00:15:00Z",29.0,28.9,29.1,0.00,10,1.93,0.02,0
"2021-06-01T00:15:00Z","2021-06-01T00:30:00Z",28.9,28.8,29.1,0.01,11,1.93,0.03,0
"2021-06-01T00:30:00Z","2021-06-01T00:45:00Z",28.9,28.8,29.0,0.01,11,1.93,0.02,0
"2021-06-01T00:45:00Z","2021-06-01T01:00:00Z",28.8,28.7,29.0,0.01,11,1.92,0.02,0
"2021-06-01T01:00:00Z","2021-06-01T01:15:00Z",28.8,28.7,28.9,0.00,11,1.92,0.02,0
"2021-06-01T01:15:00Z","2021-06-01T01:30:00Z",28.8,28.8,28.9,0.00,11,1.92,0.02,0
"2021-06-01T01:30:00Z","2021-06-01T01:45:00Z",28.8,28.6,29.0,0.01,11,1.92,0.03,0
"2021-06-01T01:45:00Z","2021-06-01T02:00:00Z",28.9,28.8,29.0,0.01,11,1.92,0.03,0
"2021-06-01T02:00:00Z","2021-06-01T02:15:00Z",28.8,28.7,29.0,0.01,11,1.92,0.03,0
"2021-06-01T02:15:00Z","2021-06-01T02:30:00Z",28.8,28.7,29.0,0.01,11,1.92,0.02,0
"2021-06-01T02:30:00Z","2021-06-01T02:45:00Z",28.9,28.8,29.0,0.00,11,1.93,0.02,0
"2021-06-01T02:45:00Z","2021-06-01T03:00:00Z",28.9,28.7,29.1,0.01,11,1.93,0.04,0
"2021-06-01T03:00:00Z","2021-06-01T03:15:00Z",29.0,28.9,29.1,0.01,11,1.93,0.03,0
"2021-06-01T03:15:00Z","2021-06-01T03:30:00Z",29.0,28.9,29.2,0.01,11,1.93,0.03,0
"2021-06-01T03:30:00Z","2021-06-01T03:45:00Z",29.1,28.9,29.3,0.01,11,1.94,0.03,0
"2021-06-01T03:45:00Z","2021-06-01T04:00:00Z",29.2,28.9,29.3,0.02,11,1.95,0.04,0
"2021-06-01T04:00:00Z","2021-06-01T04:15:00Z",29.3,29.1,29.4,0.01,11,1.95,0.03,0
"2021-06-01T04:15:00Z","2021-06-01T04:30:00Z",29.4,29.1,29.5,0.01,11,1.96,0.04,0
"2021-06-01T04:30:00Z","2021-06-01T04:45:00Z",29.4,29.1,29.6,0.02,11,1.96,0.05,0
"2021-06-01T04:45:00Z","2021-06-01T05:00:00Z",29.5,29.4,29.7,0.01,11,1.96,0.03,0
"2021-06-01T05:00:00Z","2021-06-01T05:15:00Z",29.5,29.3,29.6,0.01,11,1.96,0.03,0
"2021-06-01T05:15:00Z","2021-06-01T05:30:00Z",29.5,29.4,29.6,0.00,11,1.97,0.02,0
"2021-06-01T05:30:00Z","2021-06-01T05:45:00Z",29.5,29.3,29.7,0.01,11,1.97,0.03,0
"2021-06-01T05:45:00Z","2021-06-01T06:00:00Z",29.5,29.4,29.7,0.01,11,1.97,0.03,0
"2021-06-01T06:00:00Z","2021-06-01T06:15:00Z",29.5,29.3,29.6,0.01,11,1.97,0.03,0
"2021-06-01T06:15:00Z","2021-06-01T06:30:00Z",29.4,29.3,29.6,0.01,11,1.96,0.03,0
"2021-06-01T06:30:00Z","2021-06-01T06:45:00Z",29.4,29.2,29.5,0.01,11,1.96,0.03,0
"2021-06-01T06:45:00Z","2021-06-01T07:00:00Z",29.3,29.1,29.5,0.01,11,1.95,0.03,0
"2021-06-01T07:00:00Z","2021-06-01T07:15:00Z",29.2,29.1,29.4,0.01,11,1.95,0.03,0
"2021-06-01T07:15:00Z","2021-06-01T07:30:00Z",29.2,29.0,29.2,0.01,11,1.94,0.03,0
"2021-06-01T07:30:00Z","2021-06-01T07:45:00Z",29.1,29.0,29.3,0.01,11,1.94,0.03,0
"2021-06-01T07:45:00Z","2021-06-01T08:00:00Z",29.0,28.9,29.1,0.01,11,1.93,0.03,0
