uid,domainID,siteID,namedLocation,sampleID,sampleCode,startDate,collectDate,laboratoryName,analyte,analyteConcentration,analyteUnits,analysisDate,belowDetectionQF,coolerTemp,remarks,shipmentWarmQF,externalLabDataQF,sampleCondition
"2bbb2650-a6b5-47c3-9663-ebb758062f80","D07","LECO","LECO.AOS.S2","LECO.SS.20190903.POM.1","A00000142003","2019-09-03T15:35Z","2019-09-03T15:35Z","SIRFER Lab at University of Utah","TPN",33.3810,"microgramsPerLiter",,,,,-1,,"OK"
"a950932b-98e1-422e-a96d-1bf3bd5ed0c4","D07","LECO","LECO.AOS.S2","LECO.SS.20190903.RAW","A00000142089","2019-09-03T15:35Z","2019-09-03T15:35Z","EcoCore_CSU","TP",0.2233,"milligramsPerLiter",,,1.2,,0,,"OK"
"7ef668dd-5d6a-4be1-a27f-411a92d5f16b","D07","LECO","LECO.AOS.S2","LECO.SS.20190903.RAW","A00000142089","2019-09-03T15:35Z","2019-09-03T15:35Z","EcoCore_CSU","specificConductance",879.2300,"microsiemensPerCentimeter",,,1.2,,0,,"OK"
"fb9f6efe-513c-4937-b91d-c0c803254193","D07","LECO","LECO.AOS.S2","LECO.SS.20190903.RAW","A00000142089","2019-09-03T15:35Z","2019-09-03T15:35Z","EcoCore_CSU","TSS - Dry Mass",1170.2128,"microgram",,,1.2,,0,,"OK"
"891a5d7a-d8f6-48d8-adec-d91bd963b113","D07","LECO","LECO.AOS.S2","LECO.SS.20190903.RAW","A00000142089","2019-09-03T15:35Z","2019-09-03T15:35Z","EcoCore_CSU","TSS",23.4043,"milligramsPerLiter",,,1.2,,0,,"OK"
"5aabb997-896c-4e23-9018-f0a253c28af5","D07","LECO","LECO.AOS.S2","LECO.SS.20190903.FIL","A00000142088","2019-09-03T15:35Z","2019-09-03T15:35Z","EcoCore_CSU","Cl",3.6665,"milligramsPerLiter",,,1.2,,0,,"OK"
"dee286a5-5ea7-4b69-976d-df5fd6409fa3","D07","LECO","LECO.AOS.S2","LECO.SS.20190903.FIL","A00000142088","2019-09-03T15:35Z","2019-09-03T15:35Z","EcoCore_CSU","Ca",99.8205,"milligramsPerLiter",,,1.2,,0,,"OK"
"9c489d8a-53e9-4fb9-9c41-3caf25a46a5c","D07","LECO","LECO.AOS.S2","LECO.SS.20190903.FIL","A00000142088","2019-09-03T15:35Z","2019-09-03T15:35Z","EcoCore_CSU","Mg",15.7900,"milligramsPerLiter",,,1.2,,0,,"OK"
"faddde2a-faed-4655-b5d7-11e342a3c9cf","D07","LECO","LECO.AOS.S2","LECO.SS.20190903.FIL","A00000142088","2019-09-03T15:35Z","2019-09-03T15:35Z","EcoCore_CSU","TDP",0.0065,"milligramsPerLiter",,,1.2,,0,,"OK"
"e864a7f3-ea0f-4af9-a58d-ad228164bfca","D07","LECO","LECO.AOS.S2","LECO.SS.20190903.FIL","A00000142088","2019-09-03T15:35Z","2019-09-03T15:35Z","EcoCore_CSU","CO3",0.0050,"milligramsPerLiter",,"BDL",1.2,,0,,"OK"
"7ae4702e-9c6a-4bb3-8bc0-78bac0d5cadc","D07","LECO","LECO.AOS.S2","LECO.SS.20190903.FIL","A00000142088","2019-09-03T15:35Z","2019-09-03T15:35Z","EcoCore_CSU","K",3.7990,"milligramsPerLiter",,,1.2,,0,,"OK"
"d3ab54bb-4bde-4e2f-af36-92c3c2cb9d8c","D07","LECO","LECO.AOS.S2","LECO.SS.20190903.FIL","A00000142088","2019-09-03T15:35Z","2019-09-03T15:35Z","EcoCore_CSU","HCO3",485.0200,"milligramsPerLiter",,,1.2,,0,,"OK"
"50d8dacc-229b-4a43-881c-9d023d6299c6","D07","LECO","LECO.AOS.S2","LECO.SS.20190903.FIL","A00000142088","2019-09-03T15:35Z","2019-09-03T15:35Z","EcoCore_CSU","F",0.0380,"milligramsPerLiter",,,1.2,,0,,"OK"
"d3415c6c-fd86-4f3e-aeb5-fa55b482d6b9","D07","LECO","LECO.AOS.S2","LECO.SS.20190903.FIL","A00000142088","2019-09-03T15:35Z","2019-09-03T15:35Z","EcoCore_CSU","Mn",0.0110,"milligramsPerLiter",,,1.2,,0,,"OK"
"b8bf4e13-e0e1-41e1-8bfe-418ddd468c92","D07","LECO","LECO.AOS.S2","LECO.SS.20190903.FIL","A00000142088","2019-09-03T15:35Z","2019-09-03T15:35Z","EcoCore_CSU","SO4",0.0050,"milligramsPerLiter",,"BDL",1.2,,0,,"OK"
"cb8477a3-326a-422d-b0f4-a2e0f57f0a3d","D07","LECO","LECO.AOS.S2","LECO.SS.20190903.FIL","A00000142088","2019-09-03T15:35Z","2019-09-03T15:35Z","EcoCore_CSU","TDS",614.2700,"milligramsPerLiter",,,1.2,,0,,"OK"
"a7c5842f-73e0-4fb7-9b44-265bc634613c","D07","LECO","LECO.AOS.S2","LECO.SS.20190903.FIL","A00000142088","2019-09-03T15:35Z","2019-09-03T15:35Z","EcoCore_CSU","Fe",0.0129,"milligramsPerLiter",,,1.2,,0,,"OK"
"8ebfee2c-75e9-4526-948a-d5412687d884","D07","LECO","LECO.AOS.S2","LECO.SS.20190903.FIL","A00000142088","2019-09-03T15:35Z","2019-09-03T15:35Z","EcoCore_CSU","Si",19.7777,"milligramsPerLiter",,,1.2,,0,,"OK"
"b20e2967-0dfc-40b3-a28e-f6a7f04074d8","D07","LECO","LECO.AOS.S2","LECO.SS.20190903.FIL","A00000142088","2019-09-03T15:35Z","2019-09-03T15:35Z","EcoCore_CSU","Na",55.9500,"milligramsPerLiter",,,1.2,,0,,"OK"
"cf0f9e80-458d-4e5d-8240-a3c42b4743be","D07","LECO","LECO.AOS.S2","LECO.SS.20190903.FIL","A00000142088","2019-09-03T15:35Z","2019-09-03T15:35Z","EcoCore_CSU","Br",0.0050,"milligramsPerLiter",,"BDL",1.2,,0,,"OK"
"b4adcdc6-6de4-4416-9c61-50d3b0d98b4c","D07","LECO","LECO.AOS.S2","LECO.SS.20190903.FIL","A00000142088","2019-09-03T15:35Z","2019-09-03T15:35Z","EcoCore_CSU","UV Absorbance (254 nm)",0.0228,,,,1.2,,0,,"OK"
