uid,domainID,siteID,namedLocation,eventID,samplingImpractical,replicateNumber,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingProtocolVersion,riparianWaterDepth,wettedWidth,bankLR,boatToShoreDist,estVisibilityDist,riparianSubsystem,riparianClass,riparianSubclass,riparianDominantVegetation,scientificName,bigTreeType,bigTreeCoverClass,smallTreeType,smallTreeCoverClass,woodyShrubSaplingType,woodyShrubSaplingCoverClass,tallHerbType,tallHerbCoverClass,woodyShrubGroundCoverClass,shortHerbCoverClass,standingWaterCoverClass,bareDirtCoverClass,buildingPresence,roadPresence,boatRampPresence,lawnsParksPresence,agriculturePresence,industryPresence,pavementPresence,trashPresence,adjacentAreaLeftRemarks,adjacentAreaRightRemarks,dominantBankAngle,subdominantBankAngle,bankUndercut,dominantBankRevetment,subdominantBankRevetment,dominantBankTexture,subdominantBankTexture,remarks,collectedBy,recordedBy,dataQF
"b00f6f58-8833-454d-9e17-cf651d10704d","D07","LECO","LECO.AOS.riparian.transect.10","LECO.10.20190917.R",,1,35.687104,-83.502125,"WGS84",0.4,580.6,0.6,"2019-09-17T15:17Z","NEON.DOC.003826vD",17.0,4.80,"Right",,"30","stream","Forested","Broad-leaved Deciduous","PLOC","Platanus occidentalis L.","Broad-leaved Deciduous","Heavy (40 to 75 %)","Needle-leaved Evergreen","Heavy (40 to 75 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Sparse (0 to 10 %)","Moderate (10 to 40 %)","Heavy (40 to 75 %)","Absent (0 %)","Sparse (0 to 10 %)","N","Y","N","Y","N","N","N","N",,,"Gradual (< 30 degrees)","Steep (30 to 75 degrees)","N","None","None","Boulder or Cobble","Mix",,"0000-0003-3518-7795","0000-0002-6187-2510",
"e57d45c2-5da5-4022-aac0-1a2aad122c97","D07","LECO","LECO.AOS.riparian.transect.08","LECO.08.20190917.L",,1,35.689215,-83.503366,"WGS84",0.4,560.4,0.8,"2019-09-17T15:17Z","NEON.DOC.003826vD",92.0,8.80,"Left",,"20","stream","Forested","Broad-leaved Deciduous","QURU","Quercus rubra L.","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Evergreen","Heavy (40 to 75 %)","Broad-leaved Deciduous","Very Heavy (> 75 %)","Broad-leaved Deciduous","Sparse (0 to 10 %)","Sparse (0 to 10 %)","Sparse (0 to 10 %)","Absent (0 %)","Sparse (0 to 10 %)","N","N","N","N","N","N","N","N",,,"Vertical (> 75 degrees)","Steep (30 to 75 degrees)","N","None","None","Boulder or Cobble","Boulder or Cobble",,"0000-0003-3518-7795","0000-0002-6187-2510",
"1b95e902-122a-49d5-8ff9-014e8b03e99e","D07","LECO","LECO.AOS.riparian.transect.02","LECO.02.20190917.R",,1,35.692239,-83.504794,"WGS84",0.6,541.5,0.7,"2019-09-17T15:17Z","NEON.DOC.003826vD",56.0,6.20,"Right",,"20","stream","Forested","Broad-leaved Deciduous","BEAL2","Betula alleghaniensis Britton","Broad-leaved Deciduous","Moderate (10 to 40 %)","Needle-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Evergreen","Heavy (40 to 75 %)","Broad-leaved Deciduous","Sparse (0 to 10 %)","Heavy (40 to 75 %)","Heavy (40 to 75 %)","Absent (0 %)","Sparse (0 to 10 %)","N","N","N","N","N","N","N","N",,,"Steep (30 to 75 degrees)","Gradual (< 30 degrees)","N","None","None","Boulder or Cobble","Boulder or Cobble",,"0000-0003-3518-7795","0000-0002-6187-2510",
"dddacee0-8197-4039-ba4f-c402c1946998","D07","LECO","LECO.AOS.riparian.transect.10","LECO.10.20190917.L",,1,35.687104,-83.502125,"WGS84",0.4,580.6,0.6,"2019-09-17T15:17Z","NEON.DOC.003826vD",17.0,4.80,"Left",,"30","stream","Forested","Broad-leaved Deciduous","AEFL","Aesculus flava Aiton","Broad-leaved Deciduous","Heavy (40 to 75 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Heavy (40 to 75 %)","Broad-leaved Deciduous","Sparse (0 to 10 %)","Moderate (10 to 40 %)","Heavy (40 to 75 %)","Absent (0 %)","Sparse (0 to 10 %)","N","N","N","N","N","N","N","N",,,"Gradual (< 30 degrees)","Steep (30 to 75 degrees)","N","None","None","Boulder or Cobble","Boulder or Cobble",,"0000-0003-3518-7795","0000-0002-6187-2510",
"5edc152b-7390-4fa8-90e6-0d9f9e554eb8","D07","LECO","LECO.AOS.riparian.transect.09","LECO.09.20190917.L",,1,35.687364,-83.502494,"WGS84",0.3,581.6,0.4,"2019-09-17T15:17Z","NEON.DOC.003826vD",43.0,2.90,"Left",,"20","stream","Forested","Broad-leaved Deciduous","PLOC","Platanus occidentalis L.","Broad-leaved Deciduous","Heavy (40 to 75 %)","Broad-leaved Deciduous","Very Heavy (> 75 %)","Broad-leaved Evergreen","Heavy (40 to 75 %)","Broad-leaved Deciduous","Sparse (0 to 10 %)","Moderate (10 to 40 %)","Moderate (10 to 40 %)","Absent (0 %)","Sparse (0 to 10 %)","N","N","N","N","N","N","N","N",,,"Gradual (< 30 degrees)","Steep (30 to 75 degrees)","N","None","None","Mix","Boulder or Cobble",,"0000-0003-3518-7795","0000-0002-6187-2510",
"907207bf-95ca-4de5-baaf-8639ec7689a3","D07","LECO","LECO.AOS.riparian.transect.01","LECO.01.20190917.L",,1,35.692445,-83.505171,"WGS84",0.3,539.3,0.4,"2019-09-17T15:17Z","NEON.DOC.003826vD",25.0,4.90,"Left",,"50","stream","Forested","Broad-leaved Deciduous","LITU","Liriodendron tulipifera L.","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Heavy (40 to 75 %)","Heavy (40 to 75 %)","Absent (0 %)","Sparse (0 to 10 %)","N","N","N","N","N","N","N","N",,,"Vertical (> 75 degrees)","Gradual (< 30 degrees)","N","None","None","Boulder or Cobble","Boulder or Cobble",,"0000-0003-3518-7795","0000-0002-6187-2510",
"888d2f90-c68f-48c5-a3a5-4607d78c61e1","D07","LECO","LECO.AOS.riparian.transect.09","LECO.09.20190917.R",,1,35.687364,-83.502494,"WGS84",0.3,581.6,0.4,"2019-09-17T15:17Z","NEON.DOC.003826vD",43.0,2.90,"Right",,"30","stream","Forested","Needle-leaved Evergreen","TSCA","Tsuga canadensis (L.) Carrière","Needle-leaved Evergreen","Moderate (10 to 40 %)","Broad-leaved Deciduous","Sparse (0 to 10 %)","Broad-leaved Deciduous","Heavy (40 to 75 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Moderate (10 to 40 %)","Moderate (10 to 40 %)","Absent (0 %)","Sparse (0 to 10 %)","Y","Y","N","Y","N","N","Y","N",,,"Vertical (> 75 degrees)","Steep (30 to 75 degrees)","Y","None","None","Boulder or Cobble","Boulder or Cobble",,"0000-0003-3518-7795","0000-0002-6187-2510",
"92b32d76-f17f-4b7e-95f4-4d599a00f536","D07","LECO","LECO.AOS.riparian.transect.06","LECO.06.20190917.R",,1,35.691156,-83.504047,"WGS84",0.5,548.9,0.6,"2019-09-17T15:17Z","NEON.DOC.003826vD",76.0,8.30,"Right",,"40","stream","Forested","Broad-leaved Deciduous","LITU","Liriodendron tulipifera L.","Broad-leaved Deciduous","Heavy (40 to 75 %)","Needle-leaved Evergreen","Moderate (10 to 40 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Sparse (0 to 10 %)","Heavy (40 to 75 %)","Moderate (10 to 40 %)","Absent (0 %)","Moderate (10 to 40 %)","N","N","N","N","N","N","N","N",,,"Gradual (< 30 degrees)","Gradual (< 30 degrees)","N","None","None","Mix","Boulder or Cobble",,"0000-0003-3518-7795","0000-0002-6187-2510",
"39461cb1-1f74-4ea4-bea1-ad9f6f4be6c7","D07","LECO","LECO.AOS.riparian.transect.06","LECO.06.20190917.L",,1,35.691156,-83.504047,"WGS84",0.5,548.9,0.6,"2019-09-17T15:17Z","NEON.DOC.003826vD",76.0,8.30,"Left",,"40","stream","Forested","Broad-leaved Deciduous","LITU","Liriodendron tulipifera L.","Broad-leaved Deciduous","Heavy (40 to 75 %)","Broad-leaved Deciduous","Heavy (40 to 75 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Moderate (10 to 40 %)","Moderate (10 to 40 %)","Moderate (10 to 40 %)","Absent (0 %)","Sparse (0 to 10 %)","N","N","N","N","N","N","N","N",,,"Steep (30 to 75 degrees)","Gradual (< 30 degrees)","N","None","None","Boulder or Cobble","Mix",,"0000-0003-3518-7795","0000-0002-6187-2510",
"ec5d717d-592d-4d90-9947-fee22b95da40","D07","LECO","LECO.AOS.riparian.transect.01","LECO.01.20190917.R",,1,35.692445,-83.505171,"WGS84",0.3,539.3,0.4,"2019-09-17T15:17Z","NEON.DOC.003826vD",25.0,4.90,"Right",,"50","stream","Forested","Broad-leaved Deciduous","QURU","Quercus rubra L.","Broad-leaved Deciduous","Moderate (10 to 40 %)","Broad-leaved Deciduous","Heavy (40 to 75 %)","Broad-leaved Evergreen","Very Heavy (> 75 %)","Broad-leaved Deciduous","Sparse (0 to 10 %)","Heavy (40 to 75 %)","Moderate (10 to 40 %)","Absent (0 %)","Sparse (0 to 10 %)","N","N","N","N","N","N","N","N",,,"Vertical (> 75 degrees)","Steep (30 to 75 degrees)","N","None","None","Boulder or Cobble","Boulder or Cobble",,"0000-0003-3518-7795","0000-0002-6187-2510",
