uid,domainID,siteID,namedLocation,eventID,samplingImpractical,replicateNumber,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingProtocolVersion,measurementLocation,measurementDirection,totalDensiometerPoints,coveredDensiometerPoints,canopyCoverPercent,remarks,collectedBy,recordedBy,dataQF
"8e2b3a1b-3c7c-4c47-bdcf-d5a31a21d26a","D11","BLUE","BLUE.AOS.riparian.transect.03","BLUE.03.20210622.R",,1,34.441784,-96.622884,"WGS84",0.2,289.0,0.3,"2021-06-22T17:25Z","NEON.DOC.003826vE","Right Bank","river Right",17,17,100.0,,"esHShqwTCLzE6wOYkN51grkfrYnjCXX1","esHShqwTCLy5n6wsAgho91urQD8Y42ez",
"c6f5d26d-749b-4905-ba4e-8c70242ef669","D11","BLUE","BLUE.AOS.riparian.transect.02","BLUE.02.20210622.R",,1,34.441449,-96.623162,"WGS84",0.3,288.9,0.6,"2021-06-22T17:25Z","NEON.DOC.003826vE","Right Bank","river Right",17,17,100.0,,"esHShqwTCLzE6wOYkN51grkfrYnjCXX1","esHShqwTCLy5n6wsAgho91urQD8Y42ez",
"bf9abad0-1cdf-41f7-a18f-914a3217c9c4","D11","BLUE","BLUE.AOS.riparian.transect.02","BLUE.02.20210622.C",,1,34.441449,-96.623162,"WGS84",0.3,288.9,0.6,"2021-06-22T17:25Z","NEON.DOC.003826vE","Center","river Right",17,6,35.3,,"esHShqwTCLzE6wOYkN51grkfrYnjCXX1","esHShqwTCLy5n6wsAgho91urQD8Y42ez",
"f80ae034-002b-4a1c-8459-811dda46305c","D11","BLUE","BLUE.AOS.riparian.transect.07","BLUE.07.20210622.C",,1,34.444863,-96.623993,"WGS84",0.1,286.0,0.3,"2021-06-22T17:25Z","NEON.DOC.003826vE","Center","upstream",17,3,17.6,,"esHShqwTCLzE6wOYkN51grkfrYnjCXX1","esHShqwTCLy5n6wsAgho91urQD8Y42ez",
"6a285b35-0147-4b8b-b3cf-4c7595e96112","D11","BLUE","BLUE.AOS.riparian.transect.03","BLUE.03.20210622.C",,1,34.441784,-96.622884,"WGS84",0.2,289.0,0.3,"2021-06-22T17:25Z","NEON.DOC.003826vE","Center","upstream",17,0,0.0,,"esHShqwTCLzE6wOYkN51grkfrYnjCXX1","esHShqwTCLy5n6wsAgho91urQD8Y42ez",
"cd1c8036-2a0e-45bd-96ea-7284c400e3dd","D11","BLUE","BLUE.AOS.riparian.transect.04","BLUE.04.20210622.L",,1,34.442768,-96.622836,"WGS84",0.3,286.9,0.4,"2021-06-22T17:25Z","NEON.DOC.003826vE","Left Bank","river Left",17,17,100.0,,"esHShqwTCLzE6wOYkN51grkfrYnjCXX1","esHShqwTCLy5n6wsAgho91urQD8Y42ez",
"089fafc1-18e6-405a-817d-bba7419a7af6","D11","BLUE","BLUE.AOS.riparian.transect.05","BLUE.05.20210622.C",,1,34.443196,-96.623726,"WGS84",0.2,286.6,0.2,"2021-06-22T17:25Z","NEON.DOC.003826vE","Center","river Right",17,4,23.5,,"esHShqwTCLzE6wOYkN51grkfrYnjCXX1","esHShqwTCLy5n6wsAgho91urQD8Y42ez",
"be15e8d0-f990-43b9-a75c-f56a14b84836","D11","BLUE","BLUE.AOS.riparian.transect.06","BLUE.06.20210622.C",,1,34.443881,-96.624196,"WGS84",0.1,286.2,0.2,"2021-06-22T17:25Z","NEON.DOC.003826vE","Center","river Right",17,1,5.9,,"esHShqwTCLzE6wOYkN51grkfrYnjCXX1","esHShqwTCLy5n6wsAgho91urQD8Y42ez",
"52a26aae-9ecf-4f73-b288-d53a5d673840","D11","BLUE","BLUE.AOS.riparian.transect.04","BLUE.04.20210622.C",,1,34.442768,-96.622836,"WGS84",0.3,286.9,0.4,"2021-06-22T17:25Z","NEON.DOC.003826vE","Center","downstream",17,1,5.9,,"esHShqwTCLzE6wOYkN51grkfrYnjCXX1","esHShqwTCLy5n6wsAgho91urQD8Y42ez",
"d37b7bde-8476-440f-a906-e69c9a4cf558","D11","BLUE","BLUE.AOS.riparian.transect.06","BLUE.06.20210622.C",,1,34.443881,-96.624196,"WGS84",0.1,286.2,0.2,"2021-06-22T17:25Z","NEON.DOC.003826vE","Center","upstream",17,3,17.6,,"esHShqwTCLzE6wOYkN51grkfrYnjCXX1","esHShqwTCLy5n6wsAgho91urQD8Y42ez",
