startDateTime,endDateTime,surfWaterNitrateMean,surfWaterNitrateMinimum,surfWaterNitrateMaximum,surfWaterNitrateVariance,surfWaterNitrateNumPts,surfWaterNitrateExpUncert,surfWaterNitrateStdErMean,finalQF
"2019-06-01T00:00:00Z","2019-06-01T00:15:00Z",34.1,34.0,34.1,0.00,11,2.27,0.01,1
"2019-06-01T00:15:00Z","2019-06-01T00:30:00Z",34.1,34.0,34.2,0.00,11,2.27,0.01,1
"2019-06-01T00:30:00Z","2019-06-01T00:45:00Z",34.1,34.0,34.2,0.00,11,2.27,0.01,1
"2019-06-01T00:45:00Z","2019-06-01T01:00:00Z",34.2,34.1,34.3,0.00,11,2.28,0.01,1
"2019-06-01T01:00:00Z","2019-06-01T01:15:00Z",34.3,34.3,34.4,0.00,11,2.29,0.01,1
"2019-06-01T01:15:00Z","2019-06-01T01:30:00Z",34.4,34.3,34.5,0.00,11,2.29,0.01,1
"2019-06-01T01:30:00Z","2019-06-01T01:45:00Z",34.5,34.4,34.5,0.00,11,2.30,0.01,1
"2019-06-01T01:45:00Z","2019-06-01T02:00:00Z",34.6,34.6,34.6,0.00,11,2.31,0.01,1
"2019-06-01T02:00:00Z","2019-06-01T02:15:00Z",34.8,34.7,34.8,0.00,11,2.32,0.01,1
"2019-06-01T02:15:00Z","2019-06-01T02:30:00Z",34.9,34.9,35.0,0.00,11,2.32,0.01,1
"2019-06-01T02:30:00Z","2019-06-01T02:45:00Z",35.0,35.0,35.1,0.00,11,2.33,0.01,1
"2019-06-01T02:45:00Z","2019-06-01T03:00:00Z",35.1,35.1,35.2,0.00,11,2.34,0.01,1
"2019-06-01T03:00:00Z","2019-06-01T03:15:00Z",35.3,35.2,35.3,0.00,11,2.35,0.01,1
"2019-06-01T03:15:00Z","2019-06-01T03:30:00Z",35.4,35.4,35.5,0.00,11,2.36,0.02,1
"2019-06-01T03:30:00Z","2019-06-01T03:45:00Z",35.5,35.5,35.6,0.00,11,2.37,0.01,1
"2019-06-01T03:45:00Z","2019-06-01T04:00:00Z",35.7,35.6,35.7,0.00,11,2.37,0.01,1
"2019-06-01T04:00:00Z","2019-06-01T04:15:00Z",35.8,35.7,35.9,0.00,11,2.38,0.02,1
"2019-06-01T04:15:00Z","2019-06-01T04:30:00Z",35.9,35.8,35.9,0.00,11,2.39,0.01,1
"2019-06-01T04:30:00Z","2019-06-01T04:45:00Z",36.0,35.9,36.1,0.00,11,2.40,0.01,1
"2019-06-01T04:45:00Z","2019-06-01T05:00:00Z",36.1,36.1,36.2,0.00,11,2.41,0.01,1
"2019-06-01T05:00:00Z","2019-06-01T05:15:00Z",36.3,36.2,36.3,0.00,11,2.41,0.01,1
"2019-06-01T05:15:00Z","2019-06-01T05:30:00Z",36.4,36.3,36.5,0.00,11,2.42,0.01,1
"2019-06-01T05:30:00Z","2019-06-01T05:45:00Z",36.5,36.4,36.6,0.00,11,2.43,0.01,1
"2019-06-01T05:45:00Z","2019-06-01T06:00:00Z",36.6,36.6,36.7,0.00,11,2.44,0.01,1
"2019-06-01T06:00:00Z","2019-06-01T06:15:00Z",36.8,36.7,36.9,0.00,11,2.45,0.01,1
"2019-06-01T06:15:00Z","2019-06-01T06:30:00Z",36.9,36.9,37.0,0.00,11,2.46,0.01,1
"2019-06-01T06:30:00Z","2019-06-01T06:45:00Z",37.1,37.0,37.1,0.00,11,2.47,0.01,1
"2019-06-01T06:45:00Z","2019-06-01T07:00:00Z",37.2,37.1,37.2,0.00,11,2.48,0.01,1
"2019-06-01T07:00:00Z","2019-06-01T07:15:00Z",37.3,37.2,37.4,0.00,11,2.48,0.01,1
