uid,domainID,siteID,namedLocation,eventID,samplingImpractical,replicateNumber,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,startDate,samplingProtocolVersion,measurementLocation,measurementDirection,totalDensiometerPoints,coveredDensiometerPoints,canopyCoverPercent,remarks,collectedBy,recordedBy,dataQF
"692a4a98-60c7-48a3-b0e6-20ac298936cd","D07","LECO","LECO.AOS.riparian.transect.07","LECO.07.20210907.R",,1,35.690488,-83.503566,"WGS84",0.5,556.3,1.0,"2021-09-07T15:32Z","NEON.DOC.003826vE","Right Bank","river Right",17,17,100.0,,"esHShqwTCLw9ZbfryHX1zDDEtk46a4y+","esHShqwTCLx1bcPMyGI6JApNUNLfBxn2",
"e6df4b28-9d47-4958-ad63-55ca597ad2db","D07","LECO","LECO.AOS.riparian.transect.10","LECO.10.20210907.C",,1,35.687104,-83.502125,"WGS84",0.4,580.6,0.6,"2021-09-07T15:32Z","NEON.DOC.003826vE","Center","upstream",17,17,100.0,,"esHShqwTCLw9ZbfryHX1zDDEtk46a4y+","esHShqwTCLx1bcPMyGI6JApNUNLfBxn2",
"358c135e-f74f-403f-b996-44a1032e8418","D07","LECO","LECO.AOS.riparian.transect.08","LECO.08.20210907.L",,1,35.689215,-83.503366,"WGS84",0.4,560.4,0.8,"2021-09-07T15:32Z","NEON.DOC.003826vE","Left Bank","river Left",17,17,100.0,,"esHShqwTCLw9ZbfryHX1zDDEtk46a4y+","esHShqwTCLx1bcPMyGI6JApNUNLfBxn2",
"e33a2c6e-dc16-4933-9280-adfe57879669","D07","LECO","LECO.AOS.riparian.transect.04","LECO.04.20210907.C",,1,35.691685,-83.504135,"WGS84",0.4,544.6,0.8,"2021-09-07T15:32Z","NEON.DOC.003826vE","Center","river Right",17,17,100.0,,"esHShqwTCLw9ZbfryHX1zDDEtk46a4y+","esHShqwTCLx1bcPMyGI6JApNUNLfBxn2",
"76356489-f7ab-4cff-b7ab-46eef3994fd3","D07","LECO","LECO.AOS.riparian.transect.03","LECO.03.20210907.C",,1,35.692241,-83.504535,"WGS84",0.7,539.7,1.0,"2021-09-07T15:32Z","NEON.DOC.003826vE","Center","river Left",17,17,100.0,,"esHShqwTCLw9ZbfryHX1zDDEtk46a4y+","esHShqwTCLx1bcPMyGI6JApNUNLfBxn2",
"c85d2d11-64c1-4902-a358-4875abf7dba9","D07","LECO","LECO.AOS.riparian.transect.09","LECO.09.20210907.L",,1,35.687364,-83.502494,"WGS84",0.3,581.6,0.4,"2021-09-07T15:32Z","NEON.DOC.003826vE","Left Bank","river Left",17,14,82.4,,"esHShqwTCLw9ZbfryHX1zDDEtk46a4y+","esHShqwTCLx1bcPMyGI6JApNUNLfBxn2",
"ed86e812-50b4-40b2-af84-5ec903216e57","D07","LECO","LECO.AOS.riparian.transect.05","LECO.05.20210907.L",,1,35.691221,-83.504090,"WGS84",0.5,550.2,0.6,"2021-09-07T15:32Z","NEON.DOC.003826vE","Left Bank","river Left",17,17,100.0,,"esHShqwTCLw9ZbfryHX1zDDEtk46a4y+","esHShqwTCLx1bcPMyGI6JApNUNLfBxn2",
"f3556465-3935-4991-9198-85f6d90e129d","D07","LECO","LECO.AOS.riparian.transect.03","LECO.03.20210907.C",,1,35.692241,-83.504535,"WGS84",0.7,539.7,1.0,"2021-09-07T15:32Z","NEON.DOC.003826vE","Center","river Right",17,17,100.0,,"esHShqwTCLw9ZbfryHX1zDDEtk46a4y+","esHShqwTCLx1bcPMyGI6JApNUNLfBxn2",
"825fd105-7903-456a-909d-b3662c9b08a3","D07","LECO","LECO.AOS.riparian.transect.07","LECO.07.20210907.C",,1,35.690488,-83.503566,"WGS84",0.5,556.3,1.0,"2021-09-07T15:32Z","NEON.DOC.003826vE","Center","river Right",17,17,100.0,,"esHShqwTCLw9ZbfryHX1zDDEtk46a4y+","esHShqwTCLx1bcPMyGI6JApNUNLfBxn2",
"a5f3b86f-a25e-4e86-8bec-faec21b56fc1","D07","LECO","LECO.AOS.riparian.transect.10","LECO.10.20210907.C",,1,35.687104,-83.502125,"WGS84",0.4,580.6,0.6,"2021-09-07T15:32Z","NEON.DOC.003826vE","Center","river Left",17,17,100.0,,"esHShqwTCLw9ZbfryHX1zDDEtk46a4y+","esHShqwTCLx1bcPMyGI6JApNUNLfBxn2",
